22,22
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,200,0,0,300,0,203,0,0,0,0,1,0,0,0,0,204,1,1,1
1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
1,1,1,0,0,0,0,0,0,1,204,1,0,1,0,0,0,0,0,1,1,1
1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1
1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1
1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1
1,1,1,203,0,0,0,0,0,1,0,0,0,203,0,0,0,1,0,1,1,1
1,1,1,1,1,1,1,0,203,1,1,1,1,1,1,1,0,1,0,1,1,1
1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1
1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1
1,1,1,0,0,1,0,204,0,0,0,1,0,0,0,0,0,1,0,1,1,1
1,1,1,0,1,1,1,1,1,0,0,0,300,0,1,0,204,0,0,1,1,1
1,1,1,203,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1
1,1,1,0,203,0,0,0,0,0,0,204,0,0,1,0,0,0,201,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
